Reference number,Chemical_name,Common_name,"Used_for"
51,bis(8 -hydroxyquinolinium) sulphate," OXYQUINOLINE SULFATE","(a) Stabilizer for hydrogen peroxide in rinse -off hair products  (b) Stabilizer for hydrogen peroxide in leave-on hair products"
52,Methanol,METHYL ALCOHOL,"Denaturant for ethanol and isopropyl alcohol"
53,(1 -Hydroxyethylidene)diphosphonic acid and its salts,"ETIDRONIC ACID ","(a) Hair product (b) Soap "
54,1 -Phenoxypropan-2-ol (8),,"Rinse -off products  Not to be used in oral products"
56,Magnesium fluoride,MAGNESIUM FLUORIDE,"Oral products"
57,Strontium chloride hexahydrate,STRONTIUM CHLORIDE,"(a) Oral products (b) Shampoo and face products "
58,Strontium acetate hemihydrate,STRONTIUM ACETATE,"Oral products"
59,Talc: Hydrated magnesium silicate,TALC,"(a) Powdery products intended to be used for children under 3 years of age (b) Other products "
60,Fatty acid dialkylamides and dialkanolamides,,
61,"Monoalkylamines, monoalkanolamines and their salts",,
62,"Trialkylamines, trialkanolamines and their salts",,"(a) Leave -on products (b) Rinse-off products "
63,Strontium hydroxide,STRONTIUM HYDROXIDE,"pH -adjuster for depilatories"
64,Strontium peroxide,STRONTIUM PEROXIDE,"Rinse -off hair products"
65,"Benzalkonium chloride, bromide and saccharinate (9)",BENZALKONIUM CHLORIDE / BENZALKONIUM BROMIDE / BENZALKONIUM SACCHARINATE,"Rinse -off hair (head) products  "
66,Polyacrylamides,,"(a) Body leave -on products (b) Other products "
67,2 -Benzylideneheptanal,"AMYL CINNAMAL ",
69,"Cinnamyl alcohol ","CINNAMYL ALCOHOL ",
70,"3,7 -Dimethyl-2,6-octadienal  ",CITRAL,
71,"Phenol, 2 -methoxy-4-(2-propenyl)-   ",EUGENOL,
72,Hydroxycitronellal,HYDROXYCITRONELLAL,"(a) Oral products (b) Other products"
73,Isoeugenol,ISOEUGENOL,"(a) Oral products (b) Other products"
74,"2 -Pentyl-3-phenylprop-2-en-1-ol   ","AMYLCINNAMYL ALCOHOL ",
75,Benzyl salicylate,BENZYL SALICYLATE,
76,"2 -Propenal, 3-phenyl-  ","CINNAMAL ",
77,"2H -1-Benzopyran-2-one  ",COUMARIN,
78,"2,6 -Octadien-1-ol, 3,7-dimethyl-, (2E)-   ",GERANIOL,
80,4 -Methoxybenzyl alcohol,"ANISE ALCOHOL ",
81,"2 -Propenoic acid, 3-phenyl-, phenylmethyl ester ",BENZYL CINNAMATE,
82,"2,6,10 -Dodecatrien-1-ol, 3,7,11-trimethyl-  ",FARNESOL,
84,"1,6 -Octadien-3-ol, 3,7-dimethyl-  ","LINALOOL ",
85,"Benzyl benzoate ","BENZYL BENZOATE ",
86,"Citronellol /+ - 3,7-dimethyloct-6-en-1-ol ",CITRONELLOL,
87,2 -Benzylideneoctanal,HEXYL CINNAMAL,
88,Limonene,LIMONENE,
89,Methyl 2 -Octynoate,,"(a) Oral products (b) Other products"
90,"3 -Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one ",ALPHA-ISOMETHYL IONONE,
91,"Oak moss extract ",EVERNIA PRUNASTRI EXTRACT,
92,"Treemoss extract ",EVERNIA FURFURACEA EXTRACT,
93,"2,4 -Pyrimidinediamine, 3-oxide ",DIAMINOPYRIMIDINE OXIDE,"Hair products"
94,Dibenzoyl peroxide,BENZOYL PEROXIDE,"Artificial nail systems"
95,Hydroquinone methylether / Mequinol,P-HYDROXYANISOLE,"Artificial nail systems"
96,"5 -tert-Butyl-2,4,6-trinitro-m-xylene  ","MUSK XYLENE ","All cosmetic products, with the exception of oral products  Note: 'Due to environmental concerns, musk xylene is included in the authorisation list (Annex IV) of REACH. Musk xylene cannot be placed on the market or used unless authorisation has been granted under REACH"
97,"4' -tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone  ","MUSK KETONE ","All cosmetic products, with the exception of oral care products "
98,"Benzoic acid, 2 -hydroxy-",SALICYLIC ACID,"(a) Rinse -off hair products  (b) Other products except body lotion, eye shadow, mascara, eyeliner, lipstick, roll-on deodorant  (c) Body lotion, eye shadow, mascara, eyeliner, lipstick, roll-on deodorant"
99,Inorganic sulfites and bisulfites (12),,"(a) Oxidative hair dye products (b) Hair straightening products (c) Self -tanning products for the face (d) Other self-tanning products "
100,"1 -(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (13) ",TRICLOCARBAN,"Rinse -off products"
102,"1,2 -Dimethoxy-4-(2-propenyl)-benzene ",METHYL EUGENOL,"(a) Fine fragrance (b) Eau de toilette (c) Fragrance cream (d) Other leave -on products and oral products (e) Rinse-off products "
103,Abies alba oil and extract,ABIES ALBA CONE OIL; ABIES ALBA CONE EXTRACT; ABIES ALBA LEAF OIL; ABIES ALBA LEAF CERA; ABIES ALBA NEEDLE EXTRACT; ABIES ALBA NEEDLE OIL,
105,Abies pectinata oil and extract,,
106,Abies sibirica oil and extract,,
107,Abies balsamea oil and extract,,
108,Pinus mugo pumilio oil and extract,,
109,Pinus mugo oil and extract,,
110,Pinus sylvestris oil and extract,,
111,Pinus nigra oil and extract,,
112,Pinus palustris oil and extract,,
113,Pinus pinaster oil and extract,,
114,Pinus pumila oil and extract,,
115,"Pinus species oil and extract ",,
116,Pinus cembra oil and extract,,
117,Pinus cembra extract acetylated,,
118,"Picea Mariana Oil and Extract ",,
119,"Thuja Occidentalis Oil and Extract ",,
121,"3 -Carene; 3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (isodiprene)",,
122,"Cedrus atlantica oil and extract ",,
123,"Cupressus sempervirens oil and extract ",,
124,"Turpentine gum (Pinus spp.) ",,
125,"Turpentine oil and rectified oil ",,
126,"Turpentine, steam distilled (Pinus spp.) ",,
127,"Terpene alcohols acetates ",,
128,"Terpene hydrocarbons ",,
129,"Terpenes and terpenoids with the exception of limonene (d -, l-, and dl-isomers) listed under reference numbers 88, 167 and 168 of this Annex III ",,
130,"Terpenes and terpenoids ",,
131,"alpha -Terpinene; p-Mentha-1,3-diene",,
132,"gamma -Terpinene; p-Mentha-1,4-diene",,
133,"Terpinolene; p -Mentha-1,4(8)-diene",,
134,"Acetyl hexamethyl indan; 1,1,2,3,3,6 -Hexamethylindan-5-yl methyl ketone",,"(a) Leave -on products (b) Rinse-off products"
135,Allyl butyrate; 2 -Propenyl Butanoate,,
136,Allyl cinnamate; 2 -Propenyl 3-Phenyl-2-propenoate,,
137,Allyl cyclohexylacetate; 2 -Propenyl Cyclohexaneacetate,ALLYL CYCLOHEXYLACETATE,
138,Allyl cyclohexylpropionate; 2 -Propenyl 3-Cyclohexanepropanoate,ALLYL CYCLOHEXYLPROPIONATE,
139,Allyl heptanoate; 2 -Propenyl heptanoate,,
140,Allyl caproate; Allyl hexanoate,ALLYL CAPROATE,
141,Allyl isovalerate; 2 -Propenyl 3-Methylbutanoate,ALLYL ISOVALERATE,
142,Allyl octanoate; 2 -Allyl caprylate,ALLYL OCTANOATE,
143,Allyl phenoxyacetate; 2 -Propenyl Phenoxyacetate,ALLYL PHENOXYACETATE,
144,Allyl phenylacetate; 2 -Propenyl Benzeneacetate,ALLYL PHENYLACETATE,
145,"Allyl 3,5,5 -trimethylhexanoate ","ALLYL 3,5,5-TRIMETHYLHEXANOATE",
146,"Allyl cyclohexyloxyacetate ",ALLYL CYCLOHEXYLOXYACETATE,
147,"Allyl isoamyloxyacetate ",,
148,"Allyl 2 -methylbutoxyacetate ",ALLYL 2-METHYLBUTOXYACETATE,
149,"Allyl nonanoate ",ALLYL NONANOATE,
150,"Allyl propionate ",,
151,"Allyl trimethylhexanoate ",ALLYL TRIMETHYLHEXANOATE,
151a,"Allyl phenethyl ether  ","ALLYL PHENETHYL ETHER ",
152,Allyl heptine carbonate (allyl oct -2-ynoate),ALLYL HEPTINE CARBONATE,
153,Amylcyclopentenone; 2 -Pentylcyclopent-2-en-1-one,AMYLCYCLOPENTENONE,
154,"Myroxylon balsamum var. pereirae; extracts and distillates; Balsam Peru oil, absolute and anhydrol  (Balsam Oil Peru)",,
155,4 -tert.-Butyldihydrocinnamaldehyde; 3-(4-tert-Butylphenyl)propionaldehyde,4-TERT.-BUTYLDIHYDROCINNAMALDEHYDE,
156,"Cuminum cyminum oil and extract ",,"(a) Leave -on  products (b) Rinse-off products"
